,date,raw,smooth,minpreds,avgpreds,maxpreds
0,2020-03-14,0.0,0.001077021409325505,,,
1,2020-03-15,0.0,0.0015139776696676101,,,
2,2020-03-16,0.0,0.002160313987812142,,,
3,2020-03-17,0.0,0.0027392503449009094,,,
4,2020-03-18,0.0,0.0029572503056589927,,,
5,2020-03-19,0.0,0.0026789350461227904,,,
6,2020-03-20,0.0,0.0019083746221684231,,,
7,2020-03-21,0.0,0.0007273180362934138,,,
8,2020-03-22,0.0,-0.0007514708907024765,,,
9,2020-03-23,0.0,-0.002406021637889219,,,
10,2020-03-24,0.0,-0.0041122093739937296,,,
11,2020-03-25,0.0,-0.005744897090516371,,,
12,2020-03-26,0.0,-0.007175090700376298,,,
13,2020-03-27,0.0,-0.008257479412299594,,,
14,2020-03-28,0.0,-0.008797457807893205,,,
15,2020-03-29,0.0,-0.008506690069161979,,,
16,2020-03-30,0.0,-0.007037680143963135,,,
17,2020-03-31,0.0,-0.004271214614591747,,,
18,2020-04-01,0.0,-0.0008652807363070204,,,
19,2020-04-02,0.0,0.0014386579529435941,,,
20,2020-04-03,0.0,0.0004854654365304519,,,
21,2020-04-04,0.0,-0.00476167841872881,,,
22,2020-04-05,0.0,-0.013249453526511095,,,
23,2020-04-06,0.0,-0.022869618984523363,,,
24,2020-04-07,0.0,-0.03316346395716836,,,
25,2020-04-08,0.0,-0.047257134963358094,,,
26,2020-04-09,0.0,-0.07038837643160076,,,
27,2020-04-10,0.0,-0.10534681798309695,,,
28,2020-04-11,0.0,-0.14890824107654466,,,
29,2020-04-12,0.0,-0.19254677034525972,,,
30,2020-04-13,1.0,-0.22584317287815445,,,
31,2020-04-14,0.0,-0.23972282039319912,,,
32,2020-04-15,0.0,-0.22887783837320558,,,
33,2020-04-16,0.0,-0.19126783927284507,,,
34,2020-04-17,0.0,-0.12203759067848886,,,
35,2020-04-18,1.0,-0.006555308160224977,,,
36,2020-04-19,0.0,0.17899281774791168,,,
37,2020-04-20,0.0,0.46009291076701764,,,
38,2020-04-21,0.0,0.8569894775052266,,,
39,2020-04-22,1.0,1.3803227083644178,,,
40,2020-04-23,1.0,2.0263893456527162,0.0,0.0,0.0
41,2020-04-24,2.0,2.7728533885313373,0.9994784000000001,0.9994784000000001,0.9994784000000001
42,2020-04-25,1.0,3.5800340564723103,1.1094415678365834,1.114671528203256,1.1199014885699285
43,2020-04-26,2.0,4.40073375616854,1.230593699742377,1.2421465699769807,1.2536994402115844
44,2020-04-27,1.0,5.194183059832745,1.3643440554382777,1.3835156374025777,1.4026872193668776
45,2020-04-28,3.0,5.935812050472297,1.5123042730285399,1.5406345655725753,1.5689648581166105
46,2020-04-29,8.0,6.619442765001369,1.6763079768685931,1.7156291801656467,1.7549503834627005
47,2020-04-30,5.0,7.253435723521763,1.8584339967859738,1.910926312639382,1.9634186284927904
48,2020-05-01,6.0,7.851661437298242,2.061030947898121,2.1292871291414888,2.1975433103848565
49,2020-05-02,13.0,8.422410669770194,2.28674246763832,2.3738420200292945,2.4609415724202686
50,2020-05-03,7.0,8.963402569626128,2.538532302725061,2.648126131082692,2.757719959440323
51,2020-05-04,12.0,9.467051572741575,2.819708069326354,2.956114128819803,3.092520188313253
52,2020-05-05,8.0,9.93081040314549,3.1339417648676675,3.3022518334593447,3.470561902051022
53,2020-05-06,25.0,10.365102913195194,3.485282071831428,3.6914786256737364,3.8976751795160447
54,2020-05-07,12.0,10.793526325617409,3.878142491037362,4.129221123300635,4.380299755563908
55,2020-05-08,17.0,11.243090380976732,4.317235838894074,4.6213215118273565,4.925407184760639
56,2020-05-09,22.0,11.730543370583767,4.8074572817398025,5.1739002779538925,5.540343274167982
57,2020-05-10,11.0,12.256536811983581,5.353777588054087,5.793225210114004,6.232672832173921
58,2020-05-11,18.0,12.810812319127715,5.9611148302709065,6.485548148985124,7.009981467699341
59,2020-05-12,9.0,13.379865223414411,6.634038113935878,7.256728753640867,7.879419393345856
60,2020-05-13,7.0,13.950792141626598,7.376392459464179,8.111747039615413,8.847101619766647
61,2020-05-14,7.0,14.513972021155062,8.191075826325786,9.054388419293431,9.917701012261077
62,2020-05-15,10.0,15.067639976249797,9.079928816847277,10.087061664444324,11.094194512041371
63,2020-05-16,12.0,15.622153676158689,10.043736748396855,11.21075748740219,12.377778226407527
64,2020-05-17,9.0,16.200436823018745,11.082437348233633,12.425272998813664,13.768108649393696
65,2020-05-18,19.0,16.833370378981492,12.195197167529148,13.729285156159229,15.263373144789307
66,2020-05-19,18.0,17.550858209944156,13.380134916807444,15.119984572957609,16.859834229107776
67,2020-05-20,14.0,18.37282120279447,14.63399183444257,16.59264009088193,18.55128834732129
68,2020-05-21,18.0,19.307133999195873,15.952011904906866,18.1404326278935,20.328853350880134
69,2020-05-22,22.0,20.354962986186397,17.328108331095954,19.754666618970518,22.18122490684508
70,2020-05-23,19.0,21.516413244382107,18.75526552167064,21.42530213937107,24.095338757071502
71,2020-05-24,27.0,22.793708626093505,20.2259078890184,23.141462360729975,26.057016832441544
72,2020-05-25,31.0,24.192822271104326,21.73213591664914,24.891780841906964,28.051425767164794
73,2020-05-26,32.0,25.72045624891043,23.266083382362638,26.664910907077328,30.063738431792018
74,2020-05-27,27.0,27.377118129735674,24.820389989317974,28.450186305341987,32.079982621366
75,2020-05-28,26.0,29.153732942006844,26.38845856071459,30.237998133328343,34.0875377059421
76,2020-05-29,36.0,31.03145527613403,27.96453177024867,32.01992780377205,36.07532383729543
77,2020-05-30,27.0,32.97700903885028,29.543945713837577,33.789098213431274,38.034250713024974
